<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
18/09/18,110310,110340,110300,110340
18/09/18,110340,110340,110290,110300
18/09/18,110300,110330,110280,110330
18/09/18,110330,110370,110320,110360
18/09/18,110370,110380,110340,110340
18/09/18,110350,110400,110350,110390
18/09/18,110390,110420,110370,110390
18/09/18,110400,110400,110360,110370
18/09/18,110370,110370,110340,110360
18/09/18,110360,110370,110330,110340
18/09/18,110360,110370,110320,110360
18/09/18,110360,110360,110330,110330
18/09/18,110330,110330,110310,110330
18/09/18,110330,110370,110290,110290
18/09/18,110280,110310,110260,110300
18/09/18,110300,110350,110290,110350
18/09/18,110340,110350,110330,110340
18/09/18,110350,110360,110330,110340
18/09/18,110350,110370,110340,110360
18/09/18,110360,110440,110360,110440
18/09/18,110430,110490,110430,110440
18/09/18,110440,110460,110430,110450
18/09/18,110440,110470,110400,110410
18/09/18,110410,110420,110380,110380
18/09/18,110380,110400,110360,110360
18/09/18,110370,110370,110340,110370
18/09/18,110370,110370,110340,110340
18/09/18,110330,110360,110300,110310
18/09/18,110310,110330,110300,110320
18/09/18,110330,110330,110250,110260
18/09/18,110250,110280,110250,110270
18/09/18,110280,110330,110270,110320
18/09/18,110320,110340,110310,110330
18/09/18,110340,110360,110320,110350
18/09/18,110350,110370,110350,110360
18/09/18,110370,110460,110370,110440
18/09/18,110440,110460,110440,110450
18/09/18,110450,110490,110450,110460
18/09/18,110450,110480,110450,110480
18/09/18,110490,110510,110480,110510
18/09/18,110500,110520,110500,110520
18/09/18,110510,110510,110480,110480
18/09/18,110480,110490,110440,110490
18/09/18,110460,110460,110450,110450
18/09/18,110450,110480,110450,110480
18/09/18,110480,110490,110460,110490
18/09/18,110490,110490,110440,110450
18/09/18,110460,110500,110460,110500
18/09/18,110500,110500,110460,110490
18/09/18,110490,110490,110460,110480
18/09/18,110480,110500,110430,110430
18/09/18,110440,110440,110350,110390
18/09/18,110400,110400,110320,110370
18/09/18,110330,110470,110320,110390
18/09/18,110410,110440,110400,110430
18/09/18,110420,110480,110390,110480
18/09/18,110470,110500,110440,110490
